BIZ_UNIT	PD_S_C	PD_S_NM	PD_M_NM	PD_H_NM
A04	0341	단행본서적(직배)	특수점서적	서적/음반
A04	0001	삼각김밥	삼각김밥	미반
A04	0002	The커진삼각김밥	삼각김밥	미반
A04	0003	말이김밥	김밥	미반
A04	0004	트레이김밥	김밥	미반
A04	0005	초밥	김밥	미반
A04	0006	도시락	도시락	미반
A04	0007	미니도시락	도시락	미반
A04	0008	기타	도시락	미반
A04	0009	국/찌개도시락	도시락	미반
A04	0010	떠먹는주먹밥	용기형주먹밥	미반
A04	0011	동그란주먹밥	동그란주먹밥/사각주먹밥	미반
A04	0012	사각주먹밥	동그란주먹밥/사각주먹밥	미반
A04	0013	안주/간식류	안주/간식류	미반
A04	0014	조리면	조리면	미반
A04	0015	삼각샌드	샌드위치	조리빵
A04	0016	토스트샌드	샌드위치	조리빵
A04	0017	햄버거	햄버거	조리빵
A04	0018	잉글리쉬머핀	머핀/베이글	조리빵
A04	0019	베이글	머핀/베이글	조리빵
A04	0020	롤샌드	롤샌드/핫도그	조리빵
A04	0021	핫도그	롤샌드/핫도그	조리빵
A04	0022	조리샐러드	샐러드	간식
A04	0023	조리면	조리면	간식
A04	0024	냉장피자	냉장피자	간식
A04	0025	기타	기타	간식
A04	0026	일반케익	케익	디저트
A04	0027	조각케익	케익	디저트
A04	0028	프리미엄케익	케익	디저트
A04	0029	떡	떡	디저트
A04	0030	선물세트	떡	디저트
A04	0031	직납떡	떡	디저트
A04	0032	떠먹는젤리	젤리	디저트
A04	0033	푸딩	젤리	디저트
A04	0034	마시는젤리	젤리	디저트
A04	0035	아이스커피	파우치음료	즉석 식품
A04	0036	아이스티	파우치음료	즉석 식품
A04	0037	걸프	즉석음료	즉석 식품
A04	0038	스무디아	즉석음료	즉석 식품
A04	0039	아이스음료	즉석음료	즉석 식품
A04	0040	꼬치 타입	오뎅	즉석 식품
A04	0041	델리만쥬	즉석조리	즉석 식품
A04	0042	치킨	즉석조리	즉석 식품
A04	0043	기타	즉석조리	즉석 식품
A04	0044	즉석라면	즉석조리	즉석 식품
A04	0045	치킨(컨셉점포)	Hot Food	즉석 식품
A04	0046	Hot Snack	Hot Food	즉석 식품
A04	0047	컵얼음	얼음	즉석 식품
A04	0048	봉지얼음	얼음	즉석 식품
A04	0049	대용량얼음	얼음	즉석 식품
A04	0050	흰우유(소）	흰우유	유음료
A04	0051	흰우유(중)	흰우유	유음료
A04	0052	흰우유(대)	흰우유	유음료
A04	0053	기능성우유(소)	기능성우유	유음료
